name,trial,a,b,rating,rt_ms,ts,strategy
Cosmic Raven,76,9,3,6,1460,2026-09-08T18:27:32.064+00:00,shape
Cosmic Raven,77,8,9,6,2836,2026-09-08T18:27:35.124+00:00,shape
Cosmic Raven,78,2,5,2,1559,2026-09-08T18:27:36.908+00:00,shape
Cosmic Raven,79,3,2,2,1802,2026-09-08T18:27:38.929+00:00,shape
Cosmic Raven,80,2,0,2,1611,2026-09-08T18:27:40.764+00:00,shape
Cosmic Raven,81,2,4,2,827,2026-09-08T18:27:41.812+00:00,shape
Cosmic Raven,82,3,5,2,1161,2026-09-08T18:27:43.197+00:00,shape
Cosmic Raven,83,7,9,2,1009,2026-09-08T18:27:44.428+00:00,shape
Cosmic Raven,84,1,5,2,919,2026-09-08T18:27:45.574+00:00,shape
Cosmic Raven,85,7,5,2,5978,2026-09-08T18:27:51.776+00:00,shape
Cosmic Raven,86,7,4,2,2127,2026-09-08T18:27:54.122+00:00,shape
Cosmic Raven,87,9,1,2,1202,2026-09-08T18:27:55.546+00:00,shape
Cosmic Raven,88,1,0,3,6868,2026-09-08T18:28:02.639+00:00,shape
Cosmic Raven,89,8,4,2,1545,2026-09-08T18:28:04.406+00:00,shape
Cosmic Raven,90,0,5,3,4043,2026-09-08T18:28:08.676+00:00,shape
Crafty Turtle,1,5,0,3,5680,2026-09-08T18:25:05.135+00:00,mixed
Crafty Turtle,2,8,5,2,3904,2026-09-08T18:25:09.266+00:00,mixed
Crafty Turtle,3,2,1,5,1888,2026-09-08T18:25:11.385+00:00,mixed
Crafty Turtle,4,6,9,6,1905,2026-09-08T18:25:13.516+00:00,mixed
Crafty Turtle,5,0,2,4,3808,2026-09-08T18:25:17.552+00:00,mixed
Crafty Turtle,6,9,8,6,1403,2026-09-08T18:25:19.197+00:00,mixed
Crafty Turtle,7,7,9,4,2753,2026-09-08T18:25:22.164+00:00,mixed
Crafty Turtle,8,1,2,5,1623,2026-09-08T18:25:24.099+00:00,mixed
Crafty Turtle,9,2,6,4,3540,2026-09-08T18:25:27.785+00:00,mixed
Crafty Turtle,10,3,6,6,2020,2026-09-08T18:25:30.031+00:00,mixed
Crafty Turtle,11,5,8,2,2293,2026-09-08T18:25:32.553+00:00,mixed
Crafty Turtle,12,5,6,5,1635,2026-09-08T18:25:34.419+00:00,mixed
Crafty Turtle,13,6,8,4,2039,2026-09-08T18:25:36.686+00:00,mixed
Crafty Turtle,14,3,1,2,2220,2026-09-08T18:25:39.133+00:00,mixed
Crafty Turtle,15,3,0,2,1622,2026-09-08T18:25:40.984+00:00,mixed
Crafty Turtle,16,8,9,5,1903,2026-09-08T18:25:43.114+00:00,mixed
Crafty Turtle,17,8,7,4,2224,2026-09-08T18:25:45.593+00:00,mixed
Crafty Turtle,18,9,0,3,1670,2026-09-08T18:25:47.463+00:00,mixed
Crafty Turtle,19,1,8,1,3242,2026-09-08T18:25:50.935+00:00,mixed
Crafty Turtle,20,6,1,2,3672,2026-09-08T18:25:54.835+00:00,mixed
Crafty Turtle,21,0,9,5,2253,2026-09-08T18:25:57.317+00:00,mixed
Crafty Turtle,22,4,6,2,1821,2026-09-08T18:25:59.361+00:00,mixed
Crafty Turtle,23,9,2,5,3062,2026-09-08T18:26:02.655+00:00,mixed
Crafty Turtle,24,5,7,3,1835,2026-09-08T18:26:04.716+00:00,mixed
Crafty Turtle,25,4,0,2,3759,2026-09-08T18:26:08.703+00:00,mixed
Crafty Turtle,26,7,2,4,3751,2026-09-08T18:26:12.684+00:00,mixed
Crafty Turtle,27,2,7,2,4491,2026-09-08T18:26:17.403+00:00,mixed
Crafty Turtle,28,7,4,5,2601,2026-09-08T18:26:20.236+00:00,mixed
Crafty Turtle,29,0,7,2,1871,2026-09-08T18:26:22.333+00:00,mixed
Crafty Turtle,30,3,9,5,3455,2026-09-08T18:26:26.016+00:00,mixed
Crafty Turtle,31,7,3,2,4787,2026-09-08T18:26:31.216+00:00,mixed
Crafty Turtle,32,1,3,2,2122,2026-09-08T18:26:33.383+00:00,mixed
Crafty Turtle,33,6,2,5,1741,2026-09-08T18:26:35.415+00:00,mixed
Crafty Turtle,34,5,3,4,2501,2026-09-08T18:26:38.083+00:00,mixed
Crafty Turtle,35,6,4,3,2490,2026-09-08T18:26:40.800+00:00,mixed
Crafty Turtle,36,6,3,4,2554,2026-09-08T18:26:43.799+00:00,mixed
